
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
    1  3500  0.00 -1.00  2.00  1.25  0.00   4.828   4.820   1.338   0.724   0.703   0.694   2.506
    2  3500  0.50 -1.00  2.00  1.25  0.00   4.619   4.611   1.230   0.694   0.768   0.760   2.484
    3  3500  1.00 -1.00  2.00  1.25  0.00   4.379   4.370   1.143   0.639   0.812   0.804   2.464
    4  3500  1.50 -1.00  2.00  1.25  0.00   4.143   4.135   1.079   0.579   0.826   0.818   2.446
    5  3500  2.00 -1.00  2.00  1.25  0.00   3.924   3.916   1.051   0.522   0.776   0.768   2.434
    6  3500  2.50 -1.00  2.00  1.25  0.00   3.711   3.704   1.060   0.462   0.665   0.658   2.435
    7  3500  3.00 -1.00  2.00  1.25  0.00   3.542   3.536   1.058   0.423   0.579   0.573   2.437
    8  3500  3.50 -1.00  2.00  1.25  0.00   3.449   3.443   1.054   0.407   0.523   0.518   2.433
    9  3500  4.00 -1.00  2.00  1.25  0.00   3.416   3.411   1.054   0.417   0.472   0.468   2.423
   10  3500  4.50 -1.00  2.00  1.25  0.00   3.407   3.404   1.056   0.436   0.420   0.417   2.405
   11  3500  5.00 -1.00  2.00  1.25  0.00   3.372   3.370   1.063   0.442   0.361   0.359   2.381
   12  3750  0.00 -1.00  2.00  1.25  0.00   4.483   4.476   1.178   0.740   0.645   0.638   2.546
   13  3750  0.50 -1.00  2.00  1.25  0.00   4.262   4.255   1.082   0.731   0.634   0.627   2.526
   14  3750  1.00 -1.00  2.00  1.25  0.00   4.038   4.031   1.009   0.702   0.613   0.606   2.503
   15  3750  1.50 -1.00  2.00  1.25  0.00   3.840   3.834   0.956   0.668   0.590   0.584   2.478
   16  3750  2.00 -1.00  2.00  1.25  0.00   3.688   3.682   0.919   0.637   0.574   0.568   2.452
   17  3750  2.50 -1.00  2.00  1.25  0.00   3.566   3.561   0.900   0.605   0.554   0.549   2.433
   18  3750  3.00 -1.00  2.00  1.25  0.00   3.431   3.426   0.918   0.541   0.512   0.507   2.432
   19  3750  3.50 -1.00  2.00  1.25  0.00   3.289   3.285   0.936   0.472   0.472   0.467   2.438
   20  3750  4.00 -1.00  2.00  1.25  0.00   3.197   3.192   0.940   0.434   0.446   0.441   2.439
   21  3750  4.50 -1.00  2.00  1.25  0.00   3.145   3.141   0.943   0.417   0.422   0.418   2.431
   22  3750  5.00 -1.00  2.00  1.25  0.00   3.095   3.092   0.948   0.408   0.382   0.380   2.417
   23  4000  0.00 -1.00  2.00  1.25  0.00   3.992   3.987   1.050   0.641   0.607   0.602   2.568
   24  4000  0.50 -1.00  2.00  1.25  0.00   3.764   3.759   0.959   0.632   0.579   0.575   2.557
   25  4000  1.00 -1.00  2.00  1.25  0.00   3.538   3.534   0.891   0.612   0.531   0.527   2.544
   26  4000  1.50 -1.00  2.00  1.25  0.00   3.350   3.346   0.841   0.592   0.482   0.478   2.527
   27  4000  2.00 -1.00  2.00  1.25  0.00   3.218   3.215   0.806   0.579   0.445   0.442   2.507
   28  4000  2.50 -1.00  2.00  1.25  0.00   3.144   3.142   0.783   0.576   0.425   0.422   2.485
   29  4000  3.00 -1.00  2.00  1.25  0.00   3.121   3.118   0.770   0.580   0.418   0.416   2.462
   30  4000  3.50 -1.00  2.00  1.25  0.00   3.090   3.087   0.784   0.551   0.418   0.415   2.451
   31  4000  4.00 -1.00  2.00  1.25  0.00   3.016   3.013   0.812   0.487   0.416   0.413   2.451
   32  4000  4.50 -1.00  2.00  1.25  0.00   2.934   2.931   0.829   0.431   0.411   0.408   2.451
   33  4000  5.00 -1.00  2.00  1.25  0.00   2.864   2.862   0.839   0.393   0.398   0.395   2.445
   34  4250  0.00 -1.00  2.00  1.25  0.00   3.556   3.552   0.941   0.542   0.590   0.585   2.574
