
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -1.00  2.00  1.25  0.00  -8.253  -8.239 -10.647 -12.279 -13.117   4.828   4.820   1.338   0.724   0.703   0.694
    2  3500  0.50 -1.00  2.00  1.25  0.00  -8.633  -8.620 -10.955 -12.450 -13.181   4.619   4.611   1.230   0.694   0.768   0.760
    3  3500  1.00 -1.00  2.00  1.25  0.00  -8.994  -8.981 -11.218 -12.571 -13.214   4.379   4.370   1.143   0.639   0.812   0.804
    4  3500  1.50 -1.00  2.00  1.25  0.00  -9.310  -9.296 -11.423 -12.651 -13.230   4.143   4.135   1.079   0.579   0.826   0.818
    5  3500  2.00 -1.00  2.00  1.25  0.00  -9.590  -9.575 -11.568 -12.712 -13.262   3.924   3.916   1.051   0.522   0.776   0.768
    6  3500  2.50 -1.00  2.00  1.25  0.00  -9.906  -9.891 -11.723 -12.816 -13.376   3.711   3.704   1.060   0.462   0.665   0.658
    7  3500  3.00 -1.00  2.00  1.25  0.00 -10.201 -10.185 -11.889 -12.941 -13.499   3.542   3.536   1.058   0.423   0.579   0.573
    8  3500  3.50 -1.00  2.00  1.25  0.00 -10.341 -10.325 -11.955 -12.988 -13.542   3.449   3.443   1.054   0.407   0.523   0.518
    9  3500  4.00 -1.00  2.00  1.25  0.00 -10.380 -10.363 -11.952 -12.994 -13.547   3.416   3.411   1.054   0.417   0.472   0.468
   10  3500  4.50 -1.00  2.00  1.25  0.00 -10.377 -10.358 -11.919 -12.982 -13.539   3.407   3.404   1.056   0.436   0.420   0.417
   11  3500  5.00 -1.00  2.00  1.25  0.00 -10.389 -10.369 -11.884 -12.960 -13.522   3.372   3.370   1.063   0.442   0.361   0.359
   12  3750  0.00 -1.00  2.00  1.25  0.00  -9.565  -9.550 -11.757 -13.246 -13.924   4.483   4.476   1.178   0.740   0.645   0.638
   13  3750  0.50 -1.00  2.00  1.25  0.00  -9.941  -9.926 -12.017 -13.401 -13.983   4.262   4.255   1.082   0.731   0.634   0.627
   14  3750  1.00 -1.00  2.00  1.25  0.00 -10.272 -10.257 -12.226 -13.508 -14.018   4.038   4.031   1.009   0.702   0.613   0.606
   15  3750  1.50 -1.00  2.00  1.25  0.00 -10.540 -10.524 -12.383 -13.578 -14.034   3.840   3.834   0.956   0.668   0.590   0.584
   16  3750  2.00 -1.00  2.00  1.25  0.00 -10.735 -10.719 -12.494 -13.620 -14.039   3.688   3.682   0.919   0.637   0.574   0.568
   17  3750  2.50 -1.00  2.00  1.25  0.00 -10.877 -10.860 -12.565 -13.641 -14.042   3.566   3.561   0.900   0.605   0.554   0.549
   18  3750  3.00 -1.00  2.00  1.25  0.00 -11.025 -11.008 -12.624 -13.654 -14.071   3.431   3.426   0.918   0.541   0.512   0.507
   19  3750  3.50 -1.00  2.00  1.25  0.00 -11.209 -11.192 -12.718 -13.697 -14.132   3.289   3.285   0.936   0.472   0.472   0.467
