
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
   58  4750  1.00 -1.50  2.00  1.25  0.00   2.330   2.326   0.634   0.254   0.552   0.548   2.554
   59  4750  1.50 -1.50  2.00  1.25  0.00   2.183   2.180   0.605   0.251   0.470   0.467   2.551
   60  4750  2.00 -1.50  2.00  1.25  0.00   2.071   2.068   0.583   0.251   0.400   0.397   2.548
   61  4750  2.50 -1.50  2.00  1.25  0.00   1.999   1.996   0.569   0.256   0.347   0.345   2.544
   62  4750  3.00 -1.50  2.00  1.25  0.00   1.966   1.964   0.559   0.267   0.313   0.311   2.541
   63  4750  3.50 -1.50  2.00  1.25  0.00   1.968   1.966   0.552   0.282   0.297   0.296   2.537
   64  4750  4.00 -1.50  2.00  1.25  0.00   1.996   1.994   0.549   0.299   0.297   0.296   2.531
   65  4750  4.50 -1.50  2.00  1.25  0.00   2.029   2.028   0.551   0.309   0.308   0.307   2.525
   66  4750  5.00 -1.50  2.00  1.25  0.00   2.042   2.041   0.561   0.298   0.322   0.321   2.520
   67  5000  0.00 -1.50  2.00  1.25  0.00   2.430   2.427   0.604   0.202   0.816   0.812   2.566
   68  5000  0.50 -1.50  2.00  1.25  0.00   2.250   2.247   0.576   0.193   0.711   0.707   2.561
   69  5000  1.00 -1.50  2.00  1.25  0.00   2.085   2.081   0.553   0.187   0.603   0.600   2.557
   70  5000  1.50 -1.50  2.00  1.25  0.00   1.944   1.941   0.535   0.184   0.502   0.500   2.553
   71  5000  2.00 -1.50  2.00  1.25  0.00   1.835   1.832   0.523   0.186   0.415   0.412   2.550
   72  5000  2.50 -1.50  2.00  1.25  0.00   1.760   1.758   0.515   0.192   0.344   0.342   2.547
   73  5000  3.00 -1.50  2.00  1.25  0.00   1.723   1.720   0.509   0.203   0.295   0.293   2.545
   74  5000  3.50 -1.50  2.00  1.25  0.00   1.717   1.715   0.507   0.217   0.266   0.264   2.542
   75  5000  4.00 -1.50  2.00  1.25  0.00   1.737   1.735   0.506   0.234   0.254   0.253   2.540
   76  5000  4.50 -1.50  2.00  1.25  0.00   1.770   1.768   0.507   0.249   0.256   0.254   2.537
   77  5000  5.00 -1.50  2.00  1.25  0.00   1.796   1.794   0.511   0.252   0.267   0.265   2.534
   78  5250  0.00 -1.50  2.00  1.25  0.00   2.287   2.285   0.509   0.160   0.947   0.945   2.578
   79  5250  0.50 -1.50  2.00  1.25  0.00   2.109   2.106   0.493   0.148   0.824   0.822   2.572
   80  5250  1.00 -1.50  2.00  1.25  0.00   1.941   1.939   0.480   0.140   0.698   0.696   2.567
   81  5250  1.50 -1.50  2.00  1.25  0.00   1.795   1.793   0.471   0.136   0.578   0.576   2.562
   82  5250  2.00 -1.50  2.00  1.25  0.00   1.676   1.674   0.466   0.136   0.470   0.468   2.558
   83  5250  2.50 -1.50  2.00  1.25  0.00   1.587   1.585   0.463   0.141   0.377   0.375   2.555
   84  5250  3.00 -1.50  2.00  1.25  0.00   1.531   1.529   0.462   0.150   0.305   0.303   2.552
   85  5250  3.50 -1.50  2.00  1.25  0.00   1.508   1.507   0.462   0.163   0.255   0.254   2.549
   86  5250  4.00 -1.50  2.00  1.25  0.00   1.515   1.514   0.465   0.179   0.227   0.225   2.547
   87  5250  4.50 -1.50  2.00  1.25  0.00   1.540   1.539   0.468   0.194   0.215   0.213   2.545
   88  5250  5.00 -1.50  2.00  1.25  0.00   1.568   1.567   0.472   0.204   0.216   0.214   2.544
   89  5500  0.00 -1.50  2.00  1.25  0.00   2.222   2.220   0.428   0.132   1.099   1.097   2.594
   90  5500  0.50 -1.50  2.00  1.25  0.00   2.050   2.048   0.421   0.122   0.963   0.961   2.588
   91  5500  1.00 -1.50  2.00  1.25  0.00   1.883   1.881   0.416   0.113   0.823   0.821   2.582
   92  5500  1.50 -1.50  2.00  1.25  0.00   1.731   1.729   0.414   0.108   0.686   0.684   2.577
   93  5500  2.00 -1.50  2.00  1.25  0.00   1.599   1.597   0.413   0.106   0.558   0.557   2.572
   94  5500  2.50 -1.50  2.00  1.25  0.00   1.490   1.489   0.415   0.107   0.444   0.443   2.567
   95  5500  3.00 -1.50  2.00  1.25  0.00   1.409   1.407   0.417   0.113   0.348   0.346   2.563
   96  5500  3.50 -1.50  2.00  1.25  0.00   1.359   1.358   0.420   0.122   0.273   0.272   2.560
   97  5500  4.00 -1.50  2.00  1.25  0.00   1.341   1.340   0.424   0.134   0.222   0.221   2.557
   98  5500  4.50 -1.50  2.00  1.25  0.00   1.350   1.349   0.429   0.149   0.193   0.191   2.555
   99  5500  5.00 -1.50  2.00  1.25  0.00   1.371   1.370   0.434   0.160   0.180   0.179   2.554
  100  5750  0.00 -1.50  2.00  1.25  0.00   2.206   2.204   0.357   0.114   1.263   1.262   2.613
  101  5750  0.50 -1.50  2.00  1.25  0.00   2.045   2.044   0.357   0.106   1.117   1.116   2.608
  102  5750  1.00 -1.50  2.00  1.25  0.00   1.882   1.881   0.359   0.099   0.965   0.964   2.603
  103  5750  1.50 -1.50  2.00  1.25  0.00   1.726   1.725   0.362   0.093   0.814   0.813   2.597
  104  5750  2.00 -1.50  2.00  1.25  0.00   1.584   1.583   0.366   0.090   0.670   0.669   2.591
  105  5750  2.50 -1.50  2.00  1.25  0.00   1.460   1.459   0.370   0.090   0.538   0.537   2.585
  106  5750  3.00 -1.50  2.00  1.25  0.00   1.355   1.354   0.376   0.092   0.419   0.418   2.580
  107  5750  3.50 -1.50  2.00  1.25  0.00   1.276   1.275   0.380   0.097   0.320   0.319   2.576
  108  5750  4.00 -1.50  2.00  1.25  0.00   1.227   1.226   0.386   0.105   0.244   0.243   2.572
  109  5750  4.50 -1.50  2.00  1.25  0.00   1.209   1.208   0.392   0.115   0.193   0.192   2.568
  110  5750  5.00 -1.50  2.00  1.25  0.00   1.214   1.213   0.398   0.126   0.163   0.162   2.566
  111  6000  0.00 -1.50  2.00  1.25  0.00   2.219   2.218   0.292   0.098   1.439   1.438   2.634
  112  6000  0.50 -1.50  2.00  1.25  0.00   2.073   2.072   0.299   0.096   1.281   1.280   2.631
  113  6000  1.00 -1.50  2.00  1.25  0.00   1.916   1.915   0.306   0.091   1.120   1.119   2.626
  114  6000  1.50 -1.50  2.00  1.25  0.00   1.760   1.759   0.313   0.087   0.957   0.956   2.621
  115  6000  2.00 -1.50  2.00  1.25  0.00   1.611   1.610   0.321   0.085   0.798   0.797   2.615
  116  6000  2.50 -1.50  2.00  1.25  0.00   1.474   1.473   0.329   0.083   0.648   0.648   2.608
  117  6000  3.00 -1.50  2.00  1.25  0.00   1.352   1.351   0.337   0.083   0.511   0.510   2.602
  118  6000  3.50 -1.50  2.00  1.25  0.00   1.249   1.248   0.344   0.085   0.390   0.389   2.596
  119  6000  4.00 -1.50  2.00  1.25  0.00   1.171   1.170   0.351   0.089   0.290   0.289   2.591
  120  6000  4.50 -1.50  2.00  1.25  0.00   1.122   1.121   0.357   0.095   0.214   0.213   2.586
  121  6000  5.00 -1.50  2.00  1.25  0.00   1.102   1.101   0.365   0.103   0.164   0.163   2.583
  122  6250  0.50 -1.50  2.00  1.25  0.00   2.118   2.117   0.244   0.087   1.452   1.451   2.654
  123  6250  1.00 -1.50  2.00  1.25  0.00   1.970   1.969   0.257   0.088   1.278   1.277   2.652
  124  6250  1.50 -1.50  2.00  1.25  0.00   1.816   1.816   0.268   0.086   1.105   1.105   2.648
  125  6250  2.00 -1.50  2.00  1.25  0.00   1.664   1.663   0.279   0.085   0.935   0.934   2.642
  126  6250  2.50 -1.50  2.00  1.25  0.00   1.518   1.517   0.290   0.083   0.771   0.770   2.636
  127  6250  3.00 -1.50  2.00  1.25  0.00   1.382   1.381   0.300   0.082   0.617   0.616   2.629
  128  6250  3.50 -1.50  2.00  1.25  0.00   1.261   1.260   0.309   0.082   0.476   0.476   2.622
  129  6250  4.00 -1.50  2.00  1.25  0.00   1.158   1.157   0.318   0.083   0.354   0.353   2.615
  130  6250  4.50 -1.50  2.00  1.25  0.00   1.080   1.080   0.325   0.086   0.255   0.254   2.609
  131  6250  5.00 -1.50  2.00  1.25  0.00   1.033   1.032   0.333   0.091   0.183   0.182   2.604
  132  6500  0.50 -1.50  2.00  1.25  0.00   2.167   2.167   0.188   0.077   1.636   1.635   2.677
  133  6500  1.00 -1.50  2.00  1.25  0.00   2.031   2.030   0.208   0.085   1.441   1.441   2.678
  134  6500  1.50 -1.50  2.00  1.25  0.00   1.883   1.882   0.224   0.088   1.255   1.255   2.676
  135  6500  2.00 -1.50  2.00  1.25  0.00   1.730   1.729   0.238   0.088   1.075   1.075   2.673
  136  6500  2.50 -1.50  2.00  1.25  0.00   1.578   1.578   0.252   0.087   0.899   0.898   2.667
  137  6500  3.00 -1.50  2.00  1.25  0.00   1.433   1.432   0.264   0.086   0.730   0.729   2.659
  138  6500  3.50 -1.50  2.00  1.25  0.00   1.297   1.296   0.276   0.085   0.573   0.572   2.651
  139  6500  4.00 -1.50  2.00  1.25  0.00   1.176   1.175   0.286   0.085   0.432   0.431   2.643
  140  6500  4.50 -1.50  2.00  1.25  0.00   1.075   1.074   0.296   0.085   0.311   0.310   2.636
  141  6500  5.00 -1.50  2.00  1.25  0.00   1.000   1.000   0.304   0.087   0.216   0.216   2.629
  142  6750  0.50 -1.50  2.00  1.25  0.00   2.198   2.198   0.145   0.074   1.758   1.757   2.692
  143  6750  1.00 -1.50  2.00  1.25  0.00   2.089   2.089   0.158   0.079   1.613   1.613   2.704
  144  6750  1.50 -1.50  2.00  1.25  0.00   1.949   1.949   0.181   0.089   1.408   1.408   2.705
  145  6750  2.00 -1.50  2.00  1.25  0.00   1.800   1.799   0.199   0.093   1.213   1.213   2.704
  146  6750  2.50 -1.50  2.00  1.25  0.00   1.647   1.647   0.215   0.094   1.027   1.027   2.700
  147  6750  3.00 -1.50  2.00  1.25  0.00   1.495   1.495   0.230   0.093   0.847   0.847   2.693
  148  6750  3.50 -1.50  2.00  1.25  0.00   1.349   1.349   0.243   0.093   0.675   0.675   2.684
  149  6750  4.00 -1.50  2.00  1.25  0.00   1.214   1.213   0.256   0.091   0.518   0.517   2.675
  150  6750  4.50 -1.50  2.00  1.25  0.00   1.094   1.093   0.267   0.090   0.378   0.377   2.666
  151  6750  5.00 -1.50  2.00  1.25  0.00   0.996   0.995   0.277   0.089   0.262   0.261   2.658
  152  7000  0.50 -1.50  2.00  1.25  0.00   2.196   2.197   0.114   0.074   1.817   1.817   2.696
  153  7000  1.00 -1.50  2.00  1.25  0.00   2.123   2.123   0.119   0.079   1.724   1.724   2.721
  154  7000  1.50 -1.50  2.00  1.25  0.00   2.008   2.007   0.134   0.087   1.564   1.563   2.733
  155  7000  2.00 -1.50  2.00  1.25  0.00   1.866   1.866   0.159   0.097   1.352   1.351   2.735
  156  7000  2.50 -1.50  2.00  1.25  0.00   1.716   1.715   0.179   0.102   1.152   1.152   2.733
  157  7000  3.00 -1.50  2.00  1.25  0.00   1.563   1.562   0.197   0.103   0.962   0.962   2.728
  158  7000  3.50 -1.50  2.00  1.25  0.00   1.411   1.411   0.212   0.102   0.781   0.780   2.720
  159  7000  4.00 -1.50  2.00  1.25  0.00   1.265   1.265   0.226   0.101   0.609   0.608   2.710
  160  7000  4.50 -1.50  2.00  1.25  0.00   1.130   1.130   0.239   0.099   0.452   0.452   2.700
  161  7000  5.00 -1.50  2.00  1.25  0.00   1.014   1.013   0.250   0.097   0.318   0.317   2.690
  162  7250  0.50 -1.50  2.00  1.25  0.00   2.149   2.149   0.097   0.076   1.802   1.802   2.686
  163  7250  1.00 -1.50  2.00  1.25  0.00   2.123   2.123   0.092   0.079   1.778   1.778   2.726
  164  7250  1.50 -1.50  2.00  1.25  0.00   2.039   2.039   0.100   0.088   1.661   1.661   2.751
  165  7250  2.00 -1.50  2.00  1.25  0.00   1.920   1.920   0.117   0.098   1.489   1.489   2.764
  166  7250  2.50 -1.50  2.00  1.25  0.00   1.778   1.778   0.143   0.108   1.274   1.274   2.766
  167  7250  3.00 -1.50  2.00  1.25  0.00   1.628   1.628   0.164   0.113   1.074   1.073   2.763
  168  7250  3.50 -1.50  2.00  1.25  0.00   1.475   1.475   0.181   0.114   0.882   0.882   2.757
  169  7250  4.00 -1.50  2.00  1.25  0.00   1.323   1.323   0.198   0.113   0.700   0.700   2.747
  170  7250  4.50 -1.50  2.00  1.25  0.00   1.178   1.177   0.212   0.110   0.530   0.530   2.736
  171  7250  5.00 -1.50  2.00  1.25  0.00   1.046   1.046   0.225   0.107   0.379   0.379   2.725
  172  7500  0.50 -1.50  2.00  1.25  0.00   2.018   2.019   0.103   0.078   1.655   1.655   2.654
  173  7500  1.00 -1.50  2.00  1.25  0.00   2.083   2.083   0.074   0.079   1.776   1.776   2.718
  174  7500  1.50 -1.50  2.00  1.25  0.00   2.036   2.036   0.075   0.088   1.707   1.707   2.757
  175  7500  2.00 -1.50  2.00  1.25  0.00   1.946   1.946   0.085   0.100   1.574   1.574   2.783
  176  7500  2.50 -1.50  2.00  1.25  0.00   1.827   1.827   0.104   0.112   1.394   1.394   2.795
  177  7500  3.00 -1.50  2.00  1.25  0.00   1.685   1.685   0.130   0.122   1.179   1.179   2.797
  178  7500  3.50 -1.50  2.00  1.25  0.00   1.535   1.535   0.151   0.126   0.979   0.979   2.794
  179  7500  4.00 -1.50  2.00  1.25  0.00   1.382   1.382   0.170   0.126   0.789   0.789   2.785
