
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
  250  9750  5.00 -1.50  2.00  0.00  0.00   1.280   1.280   0.018   0.222   0.796   0.796   2.971
  251 10000  2.00 -1.50  2.00  0.00  0.00   1.194   1.195   0.019   0.071   1.011   1.012   2.636
  252 10000  2.50 -1.50  2.00  0.00  0.00   1.275   1.276   0.004   0.084   1.097   1.098   2.693
  253 10000  3.00 -1.50  2.00  0.00  0.00   1.313   1.314  -0.003   0.100   1.117   1.117   2.754
  254 10000  3.50 -1.50  2.00  0.00  0.00   1.325   1.326  -0.006   0.121   1.092   1.092   2.820
  255 10000  4.00 -1.50  2.00  0.00  0.00   1.319   1.319  -0.004   0.149   1.027   1.027   2.882
  256 10000  4.50 -1.50  2.00  0.00  0.00   1.294   1.294   0.000   0.182   0.927   0.927   2.934
  257 10000  5.00 -1.50  2.00  0.00  0.00   1.250   1.250   0.009   0.218   0.794   0.794   2.969
  258 10500  2.00 -1.50  2.00  0.00  0.00   1.054   1.055   0.015   0.069   0.883   0.884   2.620
  259 10500  2.50 -1.50  2.00  0.00  0.00   1.145   1.145  -0.001   0.081   0.982   0.982   2.672
  260 10500  3.00 -1.50  2.00  0.00  0.00   1.192   1.192  -0.009   0.096   1.016   1.017   2.728
  261 10500  3.50 -1.50  2.00  0.00  0.00   1.214   1.214  -0.013   0.114   1.008   1.009   2.789
  262 10500  4.00 -1.50  2.00  0.00  0.00   1.218   1.218  -0.013   0.139   0.965   0.965   2.853
  263 10500  4.50 -1.50  2.00  0.00  0.00   1.206   1.207  -0.011   0.169   0.888   0.888   2.911
  264 10500  5.00 -1.50  2.00  0.00  0.00   1.180   1.180  -0.005   0.206   0.777   0.777   2.957
  265 11000  2.50 -1.50  2.00  0.00  0.00   1.029   1.030  -0.005   0.079   0.880   0.881   2.656
  266 11000  3.00 -1.50  2.00  0.00  0.00   1.082   1.082  -0.014   0.092   0.923   0.923   2.708
  267 11000  3.50 -1.50  2.00  0.00  0.00   1.110   1.111  -0.018   0.109   0.926   0.927   2.765
  268 11000  4.00 -1.50  2.00  0.00  0.00   1.122   1.122  -0.020   0.131   0.898   0.898   2.825
  269 11000  4.50 -1.50  2.00  0.00  0.00   1.120   1.120  -0.019   0.159   0.839   0.839   2.886
  270 11000  5.00 -1.50  2.00  0.00  0.00   1.104   1.104  -0.016   0.193   0.747   0.748   2.938
  271 11500  2.50 -1.50  2.00  0.00  0.00   0.927   0.928  -0.010   0.077   0.791   0.792   2.644
  272 11500  3.00 -1.50  2.00  0.00  0.00   0.983   0.984  -0.019   0.090   0.839   0.839   2.692
  273 11500  3.50 -1.50  2.00  0.00  0.00   1.015   1.016  -0.023   0.106   0.849   0.849   2.745
  274 11500  4.00 -1.50  2.00  0.00  0.00   1.031   1.032  -0.026   0.125   0.830   0.830   2.802
  275 11500  4.50 -1.50  2.00  0.00  0.00   1.036   1.036  -0.026   0.151   0.784   0.785   2.861
  276 11500  5.00 -1.50  2.00  0.00  0.00   1.028   1.029  -0.024   0.182   0.710   0.710   2.916
  277 12000  2.50 -1.50  2.00  0.00  0.00   0.838   0.839  -0.015   0.076   0.713   0.714   2.633
  278 12000  3.00 -1.50  2.00  0.00  0.00   0.895   0.896  -0.023   0.088   0.764   0.764   2.679
  279 12000  3.50 -1.50  2.00  0.00  0.00   0.929   0.929  -0.028   0.103   0.777   0.778   2.729
  280 12000  4.00 -1.50  2.00  0.00  0.00   0.948   0.948  -0.031   0.121   0.765   0.765   2.783
  281 12000  4.50 -1.50  2.00  0.00  0.00   0.956   0.956  -0.031   0.144   0.728   0.729   2.839
  282 12000  5.00 -1.50  2.00  0.00  0.00   0.954   0.955  -0.030   0.173   0.666   0.667   2.894
  283 12500  2.50 -1.50  2.00  0.00  0.00   0.758   0.759  -0.019   0.075   0.645   0.646   2.624
  284 12500  3.00 -1.50  2.00  0.00  0.00   0.816   0.817  -0.028   0.087   0.697   0.698   2.668
  285 12500  3.50 -1.50  2.00  0.00  0.00   0.851   0.851  -0.033   0.101   0.713   0.714   2.715
  286 12500  4.00 -1.50  2.00  0.00  0.00   0.871   0.872  -0.035   0.118   0.704   0.705   2.766
  287 12500  4.50 -1.50  2.00  0.00  0.00   0.882   0.882  -0.036   0.140   0.673   0.674   2.820
  288 12500  5.00 -1.50  2.00  0.00  0.00   0.883   0.884  -0.036   0.166   0.621   0.621   2.873
  289 13000  2.50 -1.50  2.00  0.00  0.00   0.687   0.688  -0.024   0.074   0.585   0.586   2.615
  290 13000  3.00 -1.50  2.00  0.00  0.00   0.745   0.746  -0.033   0.085   0.638   0.639   2.658
  291 13000  3.50 -1.50  2.00  0.00  0.00   0.780   0.781  -0.037   0.099   0.655   0.656   2.704
  292 13000  4.00 -1.50  2.00  0.00  0.00   0.801   0.802  -0.040   0.115   0.649   0.649   2.752
  293 13000  4.50 -1.50  2.00  0.00  0.00   0.813   0.813  -0.041   0.136   0.621   0.622   2.803
  294 13000  5.00 -1.50  2.00  0.00  0.00   0.817   0.817  -0.041   0.161   0.575   0.576   2.855
  295 14000  2.00 -1.50  2.00  0.00  0.00   0.447   0.448  -0.013   0.062   0.347   0.347   2.558
  296 14000  2.50 -1.50  2.00  0.00  0.00   0.563   0.564  -0.032   0.072   0.481   0.482   2.601
  297 14000  3.00 -1.50  2.00  0.00  0.00   0.624   0.625  -0.041   0.083   0.538   0.539   2.641
  298 14000  3.50 -1.50  2.00  0.00  0.00   0.658   0.659  -0.046   0.095   0.557   0.558   2.684
  299 14000  4.00 -1.50  2.00  0.00  0.00   0.679   0.680  -0.048   0.110   0.552   0.553   2.728
  300 14000  4.50 -1.50  2.00  0.00  0.00   0.691   0.692  -0.049   0.129   0.529   0.530   2.775
  301 14000  5.00 -1.50  2.00  0.00  0.00   0.697   0.697  -0.050   0.152   0.489   0.490   2.823
  302 15000  2.50 -1.50  2.00  0.00  0.00   0.456   0.457  -0.040   0.071   0.392   0.393   2.588
  303 15000  3.00 -1.50  2.00  0.00  0.00   0.521   0.522  -0.049   0.081   0.455   0.456   2.627
  304 15000  3.50 -1.50  2.00  0.00  0.00   0.556   0.557  -0.054   0.093   0.476   0.477   2.667
  305 15000  4.00 -1.50  2.00  0.00  0.00   0.577   0.578  -0.056   0.107   0.473   0.474   2.709
  306 15000  4.50 -1.50  2.00  0.00  0.00   0.588   0.589  -0.057   0.124   0.452   0.453   2.753
  307 15000  5.00 -1.50  2.00  0.00  0.00   0.594   0.595  -0.057   0.146   0.416   0.416   2.797
  308 16000  2.50 -1.50  2.00  0.00  0.00   0.359   0.361  -0.046   0.069   0.312   0.313   2.576
  309 16000  3.00 -1.50  2.00  0.00  0.00   0.430   0.431  -0.056   0.079   0.382   0.383   2.615
  310 16000  3.50 -1.50  2.00  0.00  0.00   0.468   0.469  -0.061   0.090   0.407   0.408   2.653
  311 16000  4.00 -1.50  2.00  0.00  0.00   0.489   0.490  -0.063   0.104   0.406   0.407   2.693
  312 16000  4.50 -1.50  2.00  0.00  0.00   0.501   0.502  -0.064   0.120   0.387   0.388   2.735
  313 16000  5.00 -1.50  2.00  0.00  0.00   0.506   0.507  -0.065   0.140   0.353   0.354   2.776
  314 17000  2.50 -1.50  2.00  0.00  0.00   0.271   0.272  -0.052   0.067   0.238   0.239   2.566
  315 17000  3.00 -1.50  2.00  0.00  0.00   0.348   0.349  -0.062   0.077   0.317   0.318   2.604
  316 17000  3.50 -1.50  2.00  0.00  0.00   0.389   0.390  -0.067   0.088   0.346   0.347   2.641
  317 17000  4.00 -1.50  2.00  0.00  0.00   0.412   0.413  -0.070   0.101   0.348   0.349   2.679
  318 17000  4.50 -1.50  2.00  0.00  0.00   0.424   0.425  -0.071   0.116   0.332   0.333   2.719
  319 17000  5.00 -1.50  2.00  0.00  0.00   0.430   0.431  -0.071   0.135   0.300   0.301   2.759
  320 18000  2.50 -1.50  2.00  0.00  0.00   0.190   0.191  -0.056   0.065   0.170   0.171   2.556
  321 18000  3.00 -1.50  2.00  0.00  0.00   0.273   0.274  -0.068   0.075   0.257   0.258   2.593
  322 18000  3.50 -1.50  2.00  0.00  0.00   0.317   0.318  -0.073   0.086   0.290   0.292   2.629
  323 18000  4.00 -1.50  2.00  0.00  0.00   0.342   0.343  -0.076   0.098   0.296   0.297   2.666
  324 18000  4.50 -1.50  2.00  0.00  0.00   0.356   0.357  -0.077   0.113   0.282   0.283   2.705
  325 18000  5.00 -1.50  2.00  0.00  0.00   0.362   0.363  -0.077   0.131   0.253   0.254   2.743
  326 19000  2.50 -1.50  2.00  0.00  0.00   0.117   0.118  -0.060   0.063   0.108   0.109   2.547
  327 19000  3.00 -1.50  2.00  0.00  0.00   0.205   0.206  -0.073   0.073   0.203   0.204   2.584
  328 19000  3.50 -1.50  2.00  0.00  0.00   0.251   0.253  -0.079   0.084   0.240   0.241   2.618
  329 19000  4.00 -1.50  2.00  0.00  0.00   0.278   0.279  -0.081   0.095   0.248   0.249   2.654
  330 19000  4.50 -1.50  2.00  0.00  0.00   0.293   0.294  -0.083   0.109   0.238   0.239   2.692
  331 19000  5.00 -1.50  2.00  0.00  0.00   0.301   0.302  -0.083   0.127   0.212   0.213   2.729
  332 20000  3.00 -1.50  2.00  0.00  0.00   0.144   0.145  -0.078   0.072   0.155   0.156   2.575
  333 20000  3.50 -1.50  2.00  0.00  0.00   0.192   0.193  -0.084   0.081   0.195   0.196   2.609
  334 20000  4.00 -1.50  2.00  0.00  0.00   0.220   0.221  -0.087   0.093   0.205   0.207   2.643
  335 20000  4.50 -1.50  2.00  0.00  0.00   0.236   0.237  -0.088   0.106   0.197   0.198   2.679
  336 20000  5.00 -1.50  2.00  0.00  0.00   0.245   0.246  -0.088   0.123   0.174   0.175   2.716
  337 21000  3.00 -1.50  2.00  0.00  0.00   0.088   0.089  -0.083   0.070   0.111   0.113   2.568
  338 21000  3.50 -1.50  2.00  0.00  0.00   0.138   0.140  -0.089   0.079   0.155   0.156   2.600
  339 21000  4.00 -1.50  2.00  0.00  0.00   0.167   0.168  -0.091   0.090   0.167   0.168   2.633
  340 21000  4.50 -1.50  2.00  0.00  0.00   0.184   0.185  -0.093   0.103   0.161   0.162   2.668
  341 21000  5.00 -1.50  2.00  0.00  0.00   0.193   0.194  -0.093   0.119   0.140   0.141   2.704
  342 22000  3.00 -1.50  2.00  0.00  0.00   0.037   0.038  -0.087   0.068   0.071   0.072   2.561
  343 22000  3.50 -1.50  2.00  0.00  0.00   0.090   0.091  -0.093   0.078   0.118   0.120   2.593
  344 22000  4.00 -1.50  2.00  0.00  0.00   0.119   0.120  -0.096   0.088   0.132   0.133   2.624
  345 22000  4.50 -1.50  2.00  0.00  0.00   0.136   0.137  -0.097   0.100   0.127   0.129   2.657
  346 22000  5.00 -1.50  2.00  0.00  0.00   0.146   0.147  -0.098   0.115   0.109   0.110   2.692
  347 23000  3.00 -1.50  2.00  0.00  0.00  -0.011  -0.010  -0.090   0.067   0.034   0.035   2.554
  348 23000  3.50 -1.50  2.00  0.00  0.00   0.045   0.046  -0.097   0.076   0.085   0.086   2.586
  349 23000  4.00 -1.50  2.00  0.00  0.00   0.075   0.077  -0.100   0.086   0.101   0.103   2.616
  350 23000  4.50 -1.50  2.00  0.00  0.00   0.093   0.094  -0.102   0.098   0.098   0.099   2.648
  351 23000  5.00 -1.50  2.00  0.00  0.00   0.103   0.104  -0.102   0.112   0.081   0.082   2.681
  352 24000  3.00 -1.50  2.00  0.00  0.00  -0.056  -0.055  -0.094   0.065  -0.001   0.000   2.548
  353 24000  3.50 -1.50  2.00  0.00  0.00   0.003   0.005  -0.101   0.074   0.055   0.056   2.579
  354 24000  4.00 -1.50  2.00  0.00  0.00   0.035   0.036  -0.104   0.084   0.073   0.074   2.609
  355 24000  4.50 -1.50  2.00  0.00  0.00   0.053   0.054  -0.106   0.096   0.071   0.072   2.640
  356 24000  5.00 -1.50  2.00  0.00  0.00   0.063   0.064  -0.106   0.109   0.055   0.057   2.672
  357 25000  3.00 -1.50  2.00  0.00  0.00  -0.101  -0.100  -0.097   0.064  -0.036  -0.035   2.541
  358 25000  3.50 -1.50  2.00  0.00  0.00  -0.035  -0.034  -0.105   0.073   0.027   0.028   2.573
  359 25000  4.00 -1.50  2.00  0.00  0.00  -0.002  -0.001  -0.108   0.083   0.047   0.048   2.603
  360 25000  4.50 -1.50  2.00  0.00  0.00   0.016   0.018  -0.110   0.094   0.047   0.048   2.633
  361 25000  5.00 -1.50  2.00  0.00  0.00   0.027   0.028  -0.110   0.107   0.032   0.034   2.664
  362 26000  3.00 -1.50  2.00  0.00  0.00  -0.149  -0.148  -0.099   0.062  -0.078  -0.077   2.533
  363 26000  3.50 -1.50  2.00  0.00  0.00  -0.072  -0.071  -0.109   0.072   0.001   0.002   2.568
  364 26000  4.00 -1.50  2.00  0.00  0.00  -0.037  -0.036  -0.112   0.081   0.023   0.024   2.596
  365 26000  4.50 -1.50  2.00  0.00  0.00  -0.018  -0.017  -0.113   0.092   0.024   0.025   2.626
  366 26000  5.00 -1.50  2.00  0.00  0.00  -0.007  -0.006  -0.114   0.104   0.011   0.012   2.656
  367 27000  3.50 -1.50  2.00  0.00  0.00  -0.107  -0.106  -0.113   0.070  -0.024  -0.023   2.562
  368 27000  4.00 -1.50  2.00  0.00  0.00  -0.070  -0.069  -0.116   0.079   0.000   0.002   2.591
  369 27000  4.50 -1.50  2.00  0.00  0.00  -0.051  -0.049  -0.117   0.090   0.003   0.004   2.619
  370 27000  5.00 -1.50  2.00  0.00  0.00  -0.039  -0.038  -0.118   0.102  -0.009  -0.008   2.649
  371 28000  3.50 -1.50  2.00  0.00  0.00  -0.144  -0.142  -0.116   0.068  -0.051  -0.050   2.555
  372 28000  4.00 -1.50  2.00  0.00  0.00  -0.102  -0.101  -0.119   0.078  -0.021  -0.019   2.585
  373 28000  4.50 -1.50  2.00  0.00  0.00  -0.081  -0.080  -0.121   0.088  -0.017  -0.016   2.613
  374 28000  5.00 -1.50  2.00  0.00  0.00  -0.070  -0.068  -0.121   0.099  -0.028  -0.026   2.642
  375 29000  3.50 -1.50  2.00  0.00  0.00  -0.180  -0.179  -0.117   0.066  -0.080  -0.079   2.547
  376 29000  4.00 -1.50  2.00  0.00  0.00  -0.134  -0.132  -0.123   0.076  -0.042  -0.041   2.579
  377 29000  4.50 -1.50  2.00  0.00  0.00  -0.111  -0.110  -0.124   0.086  -0.036  -0.035   2.607
  378 29000  5.00 -1.50  2.00  0.00  0.00  -0.099  -0.098  -0.125   0.097  -0.045  -0.044   2.635
  379 30000  3.50 -1.50  2.00  0.00  0.00  -0.213  -0.212  -0.117   0.064  -0.108  -0.107   2.539
  380 30000  4.00 -1.50  2.00  0.00  0.00  -0.165  -0.163  -0.125   0.074  -0.064  -0.062   2.572
  381 30000  4.50 -1.50  2.00  0.00  0.00  -0.140  -0.138  -0.127   0.084  -0.055  -0.053   2.600
  382 30000  5.00 -1.50  2.00  0.00  0.00  -0.127  -0.126  -0.128   0.095  -0.062  -0.061   2.628
  383 31000  3.50 -1.50  2.00  0.00  0.00  -0.242  -0.241  -0.116   0.061  -0.134  -0.133   2.531
  384 31000  4.00 -1.50  2.00  0.00  0.00  -0.194  -0.193  -0.127   0.072  -0.085  -0.084   2.565
  385 31000  4.50 -1.50  2.00  0.00  0.00  -0.168  -0.167  -0.130   0.082  -0.073  -0.071   2.593
  386 31000  5.00 -1.50  2.00  0.00  0.00  -0.154  -0.153  -0.131   0.092  -0.079  -0.077   2.621
  387 32000  4.00 -1.50  2.00  0.00  0.00  -0.222  -0.220  -0.128   0.069  -0.105  -0.104   2.557
  388 32000  4.50 -1.50  2.00  0.00  0.00  -0.195  -0.193  -0.132   0.079  -0.090  -0.089   2.586
  389 32000  5.00 -1.50  2.00  0.00  0.00  -0.180  -0.179  -0.134   0.090  -0.094  -0.093   2.613
  390 33000  4.00 -1.50  2.00  0.00  0.00  -0.246  -0.244  -0.129   0.067  -0.124  -0.123   2.549
  391 33000  4.50 -1.50  2.00  0.00  0.00  -0.220  -0.219  -0.134   0.076  -0.107  -0.106   2.578
  392 33000  5.00 -1.50  2.00  0.00  0.00  -0.205  -0.204  -0.136   0.087  -0.109  -0.107   2.604
  393 34000  4.00 -1.50  2.00  0.00  0.00  -0.266  -0.264  -0.128   0.064  -0.140  -0.139   2.542
  394 34000  4.50 -1.50  2.00  0.00  0.00  -0.243  -0.241  -0.135   0.074  -0.122  -0.121   2.570
  395 34000  5.00 -1.50  2.00  0.00  0.00  -0.228  -0.227  -0.137   0.084  -0.123  -0.121   2.596
  396 35000  4.00 -1.50  2.00  0.00  0.00  -0.282  -0.281  -0.127   0.062  -0.154  -0.152   2.535
  397 35000  4.50 -1.50  2.00  0.00  0.00  -0.262  -0.261  -0.135   0.071  -0.136  -0.134   2.563
  398 35000  5.00 -1.50  2.00  0.00  0.00  -0.248  -0.247  -0.138   0.081  -0.135  -0.133   2.588
  399 37500  4.50 -1.50  2.00  0.00  0.00  -0.298  -0.296  -0.133   0.064  -0.162  -0.160   2.545
  400 37500  5.00 -1.50  2.00  0.00  0.00  -0.289  -0.287  -0.138   0.073  -0.160  -0.158   2.568
  401 40000  4.50 -1.50  2.00  0.00  0.00  -0.318  -0.317  -0.133   0.061  -0.175  -0.173   2.534
  402 40000  5.00 -1.50  2.00  0.00  0.00  -0.314  -0.312  -0.137   0.067  -0.175  -0.173   2.551
  403 42500  5.00 -1.50  2.00  0.00  0.00  -0.329  -0.327  -0.138   0.064  -0.183  -0.181   2.542
  404 45000  5.00 -1.50  2.00  0.00  0.00  -0.340  -0.338  -0.140   0.062  -0.188  -0.186   2.538
  405 47500  5.00 -1.50  2.00  0.00  0.00  -0.349  -0.348  -0.141   0.062  -0.191  -0.190   2.535
  406 50000  5.00 -1.50  2.00  0.00  0.00  -0.357  -0.356  -0.143   0.061  -0.195  -0.194   2.533
