
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   42  4250  4.00  0.20  2.00  0.00  0.00 -12.611 -12.591 -13.993 -14.894 -15.130   3.085   3.083   0.736   0.594   0.424   0.421
   43  4250  4.50  0.20  2.00  0.00  0.00 -12.633 -12.613 -14.016 -14.888 -15.121   3.058   3.055   0.733   0.569   0.452   0.450
   44  4250  5.00  0.20  2.00  0.00  0.00 -12.679 -12.659 -14.029 -14.874 -15.119   2.998   2.995   0.745   0.528   0.448   0.445
   45  4500  0.00  0.20  2.00  0.00  0.00 -12.449 -12.430 -13.990 -15.233 -15.616   3.586   3.583   0.883   0.790   0.239   0.236
   46  4500  0.50  0.20  2.00  0.00  0.00 -12.621 -12.602 -14.101 -15.272 -15.617   3.453   3.450   0.845   0.755   0.250   0.247
   47  4500  1.00  0.20  2.00  0.00  0.00 -12.781 -12.761 -14.196 -15.300 -15.614   3.321   3.318   0.814   0.719   0.252   0.250
   48  4500  1.50  0.20  2.00  0.00  0.00 -12.935 -12.915 -14.284 -15.323 -15.609   3.190   3.188   0.786   0.683   0.251   0.249
   49  4500  2.00  0.20  2.00  0.00  0.00 -13.087 -13.066 -14.369 -15.347 -15.603   3.062   3.060   0.756   0.651   0.246   0.244
   50  4500  2.50  0.20  2.00  0.00  0.00 -13.214 -13.194 -14.446 -15.372 -15.600   2.960   2.959   0.727   0.628   0.248   0.247
   51  4500  3.00  0.20  2.00  0.00  0.00 -13.308 -13.288 -14.510 -15.394 -15.595   2.888   2.887   0.701   0.612   0.260   0.259
   52  4500  3.50  0.20  2.00  0.00  0.00 -13.361 -13.340 -14.554 -15.409 -15.590   2.850   2.849   0.681   0.603   0.280   0.279
   53  4500  4.00  0.20  2.00  0.00  0.00 -13.378 -13.357 -14.581 -15.418 -15.583   2.841   2.840   0.666   0.600   0.308   0.307
   54  4500  4.50  0.20  2.00  0.00  0.00 -13.365 -13.344 -14.589 -15.418 -15.575   2.855   2.854   0.657   0.601   0.337   0.336
   55  4500  5.00  0.20  2.00  0.00  0.00 -13.336 -13.315 -14.581 -15.410 -15.565   2.877   2.875   0.655   0.604   0.358   0.357
   56  4750  0.00  0.20  2.00  0.00  0.00 -13.274 -13.255 -14.663 -15.707 -15.991   3.235   3.231   0.785   0.688   0.287   0.283
   57  4750  0.50  0.20  2.00  0.00  0.00 -13.430 -13.411 -14.755 -15.738 -15.993   3.109   3.107   0.755   0.657   0.283   0.281
   58  4750  1.00  0.20  2.00  0.00  0.00 -13.568 -13.548 -14.830 -15.759 -15.991   2.993   2.991   0.732   0.627   0.274   0.272
   59  4750  1.50  0.20  2.00  0.00  0.00 -13.693 -13.673 -14.894 -15.775 -15.987   2.885   2.883   0.711   0.599   0.262   0.260
   60  4750  2.00  0.20  2.00  0.00  0.00 -13.813 -13.792 -14.955 -15.792 -15.982   2.781   2.780   0.690   0.576   0.248   0.246
   61  4750  2.50  0.20  2.00  0.00  0.00 -13.921 -13.900 -15.013 -15.811 -15.978   2.692   2.690   0.667   0.560   0.235   0.234
   62  4750  3.00  0.20  2.00  0.00  0.00 -14.005 -13.984 -15.062 -15.830 -15.975   2.627   2.626   0.645   0.552   0.232   0.231
   63  4750  3.50  0.20  2.00  0.00  0.00 -14.059 -14.038 -15.101 -15.847 -15.971   2.589   2.589   0.625   0.550   0.239   0.238
   64  4750  4.00  0.20  2.00  0.00  0.00 -14.081 -14.060 -15.126 -15.859 -15.967   2.580   2.580   0.608   0.554   0.254   0.254
   65  4750  4.50  0.20  2.00  0.00  0.00 -14.072 -14.050 -15.137 -15.867 -15.963   2.598   2.598   0.595   0.564   0.276   0.276
   66  4750  5.00  0.20  2.00  0.00  0.00 -14.037 -14.015 -15.132 -15.870 -15.956   2.635   2.635   0.587   0.580   0.300   0.299
   67  5000  0.00  0.20  2.00  0.00  0.00 -13.952 -13.934 -15.290 -16.141 -16.325   2.991   2.987   0.684   0.597   0.428   0.424
   68  5000  0.50  0.20  2.00  0.00  0.00 -14.108 -14.089 -15.364 -16.162 -16.324   2.857   2.854   0.662   0.566   0.400   0.397
   69  5000  1.00  0.20  2.00  0.00  0.00 -14.245 -14.226 -15.424 -16.176 -16.322   2.733   2.731   0.645   0.536   0.369   0.366
