
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   42  4250  4.00 -1.50  2.00  0.00  0.00 -13.473 -13.455 -14.375 -15.021 -15.197   2.350   2.346   0.676   0.399   0.197   0.194
   43  4250  4.50 -1.50  2.00  0.00  0.00 -13.409 -13.391 -14.345 -15.002 -15.205   2.395   2.391   0.703   0.382   0.222   0.218
   44  4250  5.00 -1.50  2.00  0.00  0.00 -13.366 -13.349 -14.324 -14.996 -15.220   2.432   2.427   0.724   0.377   0.227   0.223
   45  4500  0.00 -1.50  2.00  0.00  0.00 -13.054 -13.038 -14.471 -15.199 -15.516   2.947   2.941   0.817   0.340   0.630   0.624
   46  4500  0.50 -1.50  2.00  0.00  0.00 -13.379 -13.362 -14.653 -15.300 -15.550   2.723   2.718   0.750   0.326   0.569   0.563
   47  4500  1.00 -1.50  2.00  0.00  0.00 -13.665 -13.648 -14.793 -15.372 -15.570   2.509   2.504   0.697   0.310   0.491   0.486
   48  4500  1.50 -1.50  2.00  0.00  0.00 -13.894 -13.876 -14.891 -15.420 -15.579   2.328   2.324   0.659   0.299   0.410   0.406
   49  4500  2.00 -1.50  2.00  0.00  0.00 -14.061 -14.042 -14.954 -15.450 -15.583   2.192   2.188   0.632   0.294   0.338   0.334
   50  4500  2.50 -1.50  2.00  0.00  0.00 -14.171 -14.152 -14.990 -15.470 -15.584   2.101   2.098   0.614   0.295   0.280   0.277
   51  4500  3.00 -1.50  2.00  0.00  0.00 -14.230 -14.211 -15.006 -15.484 -15.587   2.056   2.053   0.602   0.305   0.240   0.237
   52  4500  3.50 -1.50  2.00  0.00  0.00 -14.248 -14.229 -15.009 -15.495 -15.590   2.049   2.046   0.596   0.319   0.217   0.214
   53  4500  4.00 -1.50  2.00  0.00  0.00 -14.229 -14.209 -14.997 -15.501 -15.595   2.074   2.072   0.594   0.339   0.206   0.203
   54  4500  4.50 -1.50  2.00  0.00  0.00 -14.168 -14.150 -14.965 -15.495 -15.600   2.129   2.126   0.605   0.354   0.209   0.206
   55  4500  5.00 -1.50  2.00  0.00  0.00 -14.091 -14.073 -14.926 -15.478 -15.603   2.189   2.185   0.625   0.355   0.225   0.222
   56  4750  0.00 -1.50  2.00  0.00  0.00 -13.844 -13.827 -15.156 -15.707 -15.915   2.665   2.660   0.708   0.273   0.701   0.696
   57  4750  0.50 -1.50  2.00  0.00  0.00 -14.110 -14.093 -15.279 -15.771 -15.932   2.462   2.458   0.661   0.259   0.620   0.615
   58  4750  1.00 -1.50  2.00  0.00  0.00 -14.350 -14.332 -15.378 -15.818 -15.940   2.270   2.266   0.623   0.246   0.531   0.527
   59  4750  1.50 -1.50  2.00  0.00  0.00 -14.545 -14.527 -15.448 -15.849 -15.943   2.106   2.102   0.594   0.236   0.444   0.440
   60  4750  2.00 -1.50  2.00  0.00  0.00 -14.692 -14.673 -15.492 -15.869 -15.943   1.979   1.976   0.574   0.232   0.366   0.362
   61  4750  2.50 -1.50  2.00  0.00  0.00 -14.793 -14.774 -15.517 -15.882 -15.942   1.891   1.888   0.560   0.233   0.302   0.299
   62  4750  3.00 -1.50  2.00  0.00  0.00 -14.851 -14.832 -15.527 -15.891 -15.942   1.842   1.839   0.551   0.241   0.255   0.252
   63  4750  3.50 -1.50  2.00  0.00  0.00 -14.875 -14.856 -15.528 -15.898 -15.944   1.825   1.822   0.546   0.254   0.225   0.222
   64  4750  4.00 -1.50  2.00  0.00  0.00 -14.869 -14.850 -15.522 -15.904 -15.947   1.837   1.835   0.543   0.269   0.211   0.209
   65  4750  4.50 -1.50  2.00  0.00  0.00 -14.837 -14.817 -15.507 -15.909 -15.952   1.874   1.872   0.543   0.288   0.210   0.207
   66  4750  5.00 -1.50  2.00  0.00  0.00 -14.775 -14.756 -15.479 -15.907 -15.957   1.934   1.931   0.550   0.308   0.218   0.215
   67  5000  0.00 -1.50  2.00  0.00  0.00 -14.523 -14.505 -15.781 -16.167 -16.270   2.447   2.443   0.603   0.213   0.813   0.809
   68  5000  0.50 -1.50  2.00  0.00  0.00 -14.746 -14.728 -15.855 -16.198 -16.271   2.254   2.250   0.573   0.199   0.708   0.704
   69  5000  1.00 -1.50  2.00  0.00  0.00 -14.947 -14.929 -15.912 -16.220 -16.269   2.075   2.071   0.549   0.188   0.599   0.595
   70  5000  1.50 -1.50  2.00  0.00  0.00 -15.116 -15.097 -15.952 -16.235 -16.266   1.920   1.917   0.531   0.180   0.496   0.493
   71  5000  2.00 -1.50  2.00  0.00  0.00 -15.248 -15.229 -15.977 -16.243 -16.261   1.797   1.794   0.518   0.177   0.405   0.402
   72  5000  2.50 -1.50  2.00  0.00  0.00 -15.342 -15.322 -15.988 -16.247 -16.256   1.707   1.704   0.509   0.179   0.328   0.326
   73  5000  3.00 -1.50  2.00  0.00  0.00 -15.402 -15.382 -15.990 -16.250 -16.254   1.651   1.648   0.504   0.186   0.269   0.266
   74  5000  3.50 -1.50  2.00  0.00  0.00 -15.430 -15.410 -15.985 -16.254 -16.254   1.626   1.624   0.500   0.197   0.228   0.226
   75  5000  4.00 -1.50  2.00  0.00  0.00 -15.432 -15.412 -15.976 -16.258 -16.257   1.629   1.626   0.499   0.212   0.204   0.202
   76  5000  4.50 -1.50  2.00  0.00  0.00 -15.414 -15.394 -15.965 -16.263 -16.261   1.651   1.648   0.499   0.228   0.195   0.193
   77  5000  5.00 -1.50  2.00  0.00  0.00 -15.377 -15.357 -15.950 -16.267 -16.267   1.692   1.690   0.500   0.246   0.198   0.195
   78  5250  0.00 -1.50  2.00  0.00  0.00 -15.061 -15.042 -16.323 -16.573 -16.582   2.314   2.311   0.509   0.170   0.954   0.951
   79  5250  0.50 -1.50  2.00  0.00  0.00 -15.255 -15.236 -16.361 -16.580 -16.573   2.127   2.124   0.493   0.155   0.829   0.826
   80  5250  1.00 -1.50  2.00  0.00  0.00 -15.434 -15.415 -16.388 -16.583 -16.563   1.951   1.948   0.480   0.144   0.702   0.699
   81  5250  1.50 -1.50  2.00  0.00  0.00 -15.587 -15.567 -16.404 -16.582 -16.553   1.797   1.794   0.471   0.137   0.581   0.578
   82  5250  2.00 -1.50  2.00  0.00  0.00 -15.711 -15.691 -16.409 -16.578 -16.542   1.669   1.667   0.465   0.134   0.471   0.468
   83  5250  2.50 -1.50  2.00  0.00  0.00 -15.805 -15.785 -16.405 -16.573 -16.534   1.571   1.568   0.461   0.136   0.375   0.373
   84  5250  3.00 -1.50  2.00  0.00  0.00 -15.870 -15.851 -16.398 -16.570 -16.529   1.501   1.499   0.459   0.142   0.297   0.295
