
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -2.00  2.00  0.00  0.00  -8.761  -8.749 -10.888 -12.362 -13.271   4.403   4.394   1.408   0.494   0.595   0.586
    2  3500  0.50 -2.00  2.00  0.00  0.00  -9.349  -9.336 -11.336 -12.677 -13.441   4.130   4.120   1.265   0.505   0.588   0.579
    3  3500  1.00 -2.00  2.00  0.00  0.00  -9.953  -9.940 -11.767 -12.972 -13.613   3.821   3.812   1.142   0.492   0.552   0.543
    4  3500  1.50 -2.00  2.00  0.00  0.00 -10.502 -10.489 -12.124 -13.205 -13.752   3.505   3.496   1.046   0.463   0.484   0.475
    5  3500  2.00 -2.00  2.00  0.00  0.00 -10.918 -10.904 -12.369 -13.356 -13.844   3.240   3.232   0.988   0.428   0.405   0.398
    6  3500  2.50 -2.00  2.00  0.00  0.00 -11.131 -11.116 -12.470 -13.409 -13.891   3.079   3.072   0.982   0.385   0.343   0.336
    7  3500  3.00 -2.00  2.00  0.00  0.00 -11.221 -11.206 -12.491 -13.423 -13.915   3.004   2.997   0.992   0.370   0.280   0.273
    8  3500  3.50 -2.00  2.00  0.00  0.00 -11.249 -11.233 -12.464 -13.425 -13.921   2.978   2.972   0.996   0.394   0.196   0.190
    9  3500  4.00 -2.00  2.00  0.00  0.00 -11.218 -11.201 -12.378 -13.415 -13.916   2.999   2.994   1.001   0.465   0.066   0.060
   10  3500  4.50 -2.00  2.00  0.00  0.00 -11.114 -11.097 -12.216 -13.386 -13.897   3.074   3.069   1.011   0.589  -0.127  -0.132
   11  3500  5.00 -2.00  2.00  0.00  0.00 -10.935 -10.917 -11.989 -13.344 -13.869   3.211   3.207   1.025   0.759  -0.359  -0.363
   12  3750  0.00 -2.00  2.00  0.00  0.00  -9.797  -9.783 -11.752 -13.068 -13.836   4.073   4.065   1.268   0.477   0.581   0.573
   13  3750  0.50 -2.00  2.00  0.00  0.00 -10.271 -10.257 -12.108 -13.334 -13.974   3.865   3.857   1.141   0.514   0.554   0.546
