
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   42  4250  4.00 -2.50  2.00  1.25  0.00 -13.592 -13.574 -14.457 -14.997 -15.212   2.208   2.203   0.715   0.255   0.266   0.262
   43  4250  4.50 -2.50  2.00  1.25  0.00 -13.561 -13.544 -14.440 -14.999 -15.221   2.239   2.235   0.723   0.265   0.262   0.257
   44  4250  5.00 -2.50  2.00  1.25  0.00 -13.517 -13.499 -14.412 -15.003 -15.229   2.288   2.283   0.726   0.294   0.246   0.241
   45  4500  0.00 -2.50  2.00  1.25  0.00 -13.102 -13.086 -14.497 -15.107 -15.461   2.806   2.801   0.854   0.185   0.727   0.721
   46  4500  0.50 -2.50  2.00  1.25  0.00 -13.398 -13.382 -14.656 -15.206 -15.500   2.610   2.605   0.794   0.185   0.649   0.644
   47  4500  1.00 -2.50  2.00  1.25  0.00 -13.682 -13.665 -14.795 -15.292 -15.531   2.412   2.407   0.740   0.186   0.559   0.554
   48  4500  1.50 -2.50  2.00  1.25  0.00 -13.930 -13.912 -14.907 -15.359 -15.554   2.232   2.227   0.694   0.187   0.467   0.462
   49  4500  2.00 -2.50  2.00  1.25  0.00 -14.121 -14.103 -14.986 -15.408 -15.569   2.089   2.085   0.661   0.190   0.385   0.381
   50  4500  2.50 -2.50  2.00  1.25  0.00 -14.250 -14.232 -15.034 -15.442 -15.580   1.994   1.990   0.638   0.198   0.319   0.315
   51  4500  3.00 -2.50  2.00  1.25  0.00 -14.320 -14.301 -15.056 -15.461 -15.588   1.943   1.939   0.627   0.206   0.274   0.270
   52  4500  3.50 -2.50  2.00  1.25  0.00 -14.340 -14.322 -15.058 -15.466 -15.594   1.928   1.924   0.628   0.209   0.252   0.249
   53  4500  4.00 -2.50  2.00  1.25  0.00 -14.323 -14.305 -15.046 -15.461 -15.599   1.940   1.937   0.638   0.206   0.250   0.247
   54  4500  4.50 -2.50  2.00  1.25  0.00 -14.290 -14.271 -15.030 -15.457 -15.605   1.969   1.966   0.648   0.208   0.256   0.252
   55  4500  5.00 -2.50  2.00  1.25  0.00 -14.250 -14.232 -15.013 -15.455 -15.610   2.008   2.004   0.655   0.216   0.263   0.259
   56  4750  0.00 -2.50  2.00  1.25  0.00 -13.993 -13.975 -15.256 -15.679 -15.891   2.488   2.484   0.712   0.140   0.781   0.777
   57  4750  0.50 -2.50  2.00  1.25  0.00 -14.250 -14.232 -15.360 -15.734 -15.905   2.286   2.282   0.671   0.133   0.677   0.673
   58  4750  1.00 -2.50  2.00  1.25  0.00 -14.485 -14.467 -15.444 -15.778 -15.914   2.095   2.092   0.636   0.128   0.567   0.563
   59  4750  1.50 -2.50  2.00  1.25  0.00 -14.684 -14.665 -15.507 -15.812 -15.919   1.930   1.926   0.608   0.126   0.460   0.456
   60  4750  2.00 -2.50  2.00  1.25  0.00 -14.833 -14.815 -15.548 -15.836 -15.923   1.805   1.801   0.587   0.129   0.369   0.366
   61  4750  2.50 -2.50  2.00  1.25  0.00 -14.930 -14.911 -15.572 -15.853 -15.927   1.725   1.722   0.574   0.136   0.303   0.299
   62  4750  3.00 -2.50  2.00  1.25  0.00 -14.979 -14.960 -15.579 -15.863 -15.931   1.686   1.683   0.568   0.146   0.257   0.254
   63  4750  3.50 -2.50  2.00  1.25  0.00 -14.991 -14.972 -15.574 -15.867 -15.936   1.678   1.675   0.569   0.154   0.231   0.228
   64  4750  4.00 -2.50  2.00  1.25  0.00 -14.980 -14.961 -15.562 -15.864 -15.940   1.686   1.683   0.575   0.156   0.221   0.218
   65  4750  4.50 -2.50  2.00  1.25  0.00 -14.952 -14.933 -15.546 -15.859 -15.944   1.709   1.706   0.585   0.157   0.223   0.220
   66  4750  5.00 -2.50  2.00  1.25  0.00 -14.915 -14.896 -15.529 -15.855 -15.948   1.742   1.739   0.594   0.161   0.230   0.227
   67  5000  0.00 -2.50  2.00  1.25  0.00 -14.666 -14.648 -15.880 -16.157 -16.254   2.293   2.289   0.596   0.110   0.878   0.874
   68  5000  0.50 -2.50  2.00  1.25  0.00 -14.895 -14.876 -15.942 -16.182 -16.251   2.089   2.086   0.569   0.100   0.750   0.747
   69  5000  1.00 -2.50  2.00  1.25  0.00 -15.101 -15.082 -15.989 -16.199 -16.246   1.900   1.897   0.547   0.091   0.621   0.618
   70  5000  1.50 -2.50  2.00  1.25  0.00 -15.276 -15.257 -16.021 -16.209 -16.240   1.734   1.732   0.531   0.086   0.498   0.495
   71  5000  2.00 -2.50  2.00  1.25  0.00 -15.414 -15.395 -16.037 -16.214 -16.233   1.601   1.599   0.520   0.086   0.389   0.386
   72  5000  2.50 -2.50  2.00  1.25  0.00 -15.508 -15.488 -16.042 -16.216 -16.229   1.510   1.508   0.513   0.090   0.303   0.300
   73  5000  3.00 -2.50  2.00  1.25  0.00 -15.554 -15.535 -16.037 -16.217 -16.229   1.465   1.462   0.512   0.097   0.245   0.242
   74  5000  3.50 -2.50  2.00  1.25  0.00 -15.566 -15.547 -16.026 -16.218 -16.233   1.454   1.451   0.515   0.106   0.209   0.207
   75  5000  4.00 -2.50  2.00  1.25  0.00 -15.554 -15.534 -16.010 -16.216 -16.237   1.464   1.461   0.522   0.113   0.192   0.189
   76  5000  4.50 -2.50  2.00  1.25  0.00 -15.530 -15.510 -15.992 -16.211 -16.241   1.483   1.480   0.531   0.117   0.186   0.183
   77  5000  5.00 -2.50  2.00  1.25  0.00 -15.500 -15.481 -15.976 -16.207 -16.246   1.509   1.506   0.540   0.120   0.187   0.184
   78  5250  0.00 -2.50  2.00  1.25  0.00 -15.178 -15.159 -16.403 -16.565 -16.567   2.188   2.186   0.502   0.089   1.004   1.002
   79  5250  0.50 -2.50  2.00  1.25  0.00 -15.380 -15.361 -16.432 -16.568 -16.555   1.990   1.988   0.486   0.079   0.857   0.855
   80  5250  1.00 -2.50  2.00  1.25  0.00 -15.564 -15.544 -16.450 -16.567 -16.541   1.805   1.802   0.474   0.071   0.712   0.709
   81  5250  1.50 -2.50  2.00  1.25  0.00 -15.723 -15.703 -16.458 -16.560 -16.527   1.640   1.638   0.466   0.066   0.574   0.572
   82  5250  2.00 -2.50  2.00  1.25  0.00 -15.853 -15.833 -16.456 -16.551 -16.512   1.500   1.498   0.462   0.063   0.449   0.447
   83  5250  2.50 -2.50  2.00  1.25  0.00 -15.953 -15.933 -16.447 -16.541 -16.501   1.390   1.388   0.460   0.063   0.343   0.341
   84  5250  3.00 -2.50  2.00  1.25  0.00 -16.017 -15.997 -16.435 -16.533 -16.494   1.318   1.316   0.461   0.067   0.261   0.259
   85  5250  3.50 -2.50  2.00  1.25  0.00 -16.046 -16.025 -16.420 -16.529 -16.494   1.285   1.283   0.465   0.073   0.207   0.205
   86  5250  4.00 -2.50  2.00  1.25  0.00 -16.044 -16.023 -16.401 -16.525 -16.498   1.284   1.282   0.473   0.080   0.176   0.174
   87  5250  4.50 -2.50  2.00  1.25  0.00 -16.025 -16.005 -16.383 -16.522 -16.504   1.298   1.297   0.482   0.086   0.160   0.158
   88  5250  5.00 -2.50  2.00  1.25  0.00 -16.001 -15.981 -16.365 -16.518 -16.509   1.320   1.318   0.491   0.091   0.154   0.152
   89  5500  0.00 -2.50  2.00  1.25  0.00 -15.575 -15.555 -16.854 -16.922 -16.845   2.150   2.147   0.422   0.075   1.153   1.151
   90  5500  0.50 -2.50  2.00  1.25  0.00 -15.753 -15.733 -16.857 -16.911 -16.827   1.960   1.959   0.416   0.067   0.992   0.990
   91  5500  1.00 -2.50  2.00  1.25  0.00 -15.920 -15.900 -16.853 -16.897 -16.808   1.779   1.777   0.412   0.061   0.832   0.830
   92  5500  1.50 -2.50  2.00  1.25  0.00 -16.068 -16.047 -16.842 -16.879 -16.789   1.613   1.612   0.410   0.056   0.680   0.678
