
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -0.50  2.00  0.00  0.00  -8.640  -8.627 -11.065 -12.209 -12.962   4.371   4.361   1.253   0.319   1.224   1.215
    2  3500  0.50 -0.50  2.00  0.00  0.00  -9.002  -8.990 -11.354 -12.260 -12.947   4.060   4.050   1.187   0.147   1.389   1.380
    3  3500  1.00 -0.50  2.00  0.00  0.00  -9.378  -9.365 -11.626 -12.304 -12.938   3.729   3.719   1.134  -0.027   1.512   1.502
    4  3500  1.50 -0.50  2.00  0.00  0.00  -9.764  -9.752 -11.883 -12.361 -12.949   3.399   3.389   1.088  -0.182   1.584   1.574
    5  3500  2.00 -0.50  2.00  0.00  0.00 -10.142 -10.129 -12.123 -12.438 -12.985   3.098   3.088   1.047  -0.303   1.608   1.598
    6  3500  2.50 -0.50  2.00  0.00  0.00 -10.501 -10.489 -12.348 -12.542 -13.049   2.843   2.833   1.007  -0.384   1.594   1.584
    7  3500  3.00 -0.50  2.00  0.00  0.00 -10.821 -10.808 -12.543 -12.671 -13.143   2.652   2.643   0.973  -0.417   1.538   1.529
    8  3500  3.50 -0.50  2.00  0.00  0.00 -11.072 -11.059 -12.695 -12.823 -13.277   2.553   2.544   0.954  -0.396   1.436   1.428
    9  3500  4.00 -0.50  2.00  0.00  0.00 -11.270 -11.256 -12.797 -12.979 -13.432   2.511   2.503   0.952  -0.341   1.287   1.279
   10  3500  4.50 -0.50  2.00  0.00  0.00 -11.402 -11.387 -12.841 -13.108 -13.562   2.508   2.501   0.955  -0.259   1.115   1.108
   11  3500  5.00 -0.50  2.00  0.00  0.00 -11.392 -11.376 -12.785 -13.171 -13.638   2.581   2.574   0.967  -0.152   0.949   0.942
   12  3750  0.00 -0.50  2.00  0.00  0.00  -9.576  -9.563 -11.889 -13.331 -13.956   4.558   4.548   1.125   0.747   0.812   0.803
   13  3750  0.50 -0.50  2.00  0.00  0.00  -9.887  -9.875 -12.110 -13.397 -13.963   4.312   4.303   1.065   0.650   0.879   0.869
   14  3750  1.00 -0.50  2.00  0.00  0.00 -10.188 -10.176 -12.309 -13.437 -13.958   4.051   4.041   1.020   0.537   0.934   0.924
   15  3750  1.50 -0.50  2.00  0.00  0.00 -10.494 -10.482 -12.499 -13.468 -13.949   3.776   3.767   0.981   0.418   0.977   0.967
   16  3750  2.00 -0.50  2.00  0.00  0.00 -10.800 -10.787 -12.679 -13.499 -13.945   3.501   3.492   0.946   0.303   1.001   0.992
   17  3750  2.50 -0.50  2.00  0.00  0.00 -11.095 -11.082 -12.852 -13.539 -13.951   3.246   3.237   0.912   0.204   1.012   1.003
   18  3750  3.00 -0.50  2.00  0.00  0.00 -11.368 -11.354 -13.006 -13.586 -13.969   3.020   3.012   0.883   0.126   1.001   0.992
   19  3750  3.50 -0.50  2.00  0.00  0.00 -11.580 -11.567 -13.131 -13.640 -14.005   2.862   2.854   0.864   0.074   0.983   0.975
   20  3750  4.00 -0.50  2.00  0.00  0.00 -11.721 -11.706 -13.204 -13.693 -14.062   2.774   2.766   0.870   0.048   0.937   0.930
   21  3750  4.50 -0.50  2.00  0.00  0.00 -11.865 -11.850 -13.263 -13.757 -14.137   2.694   2.687   0.880   0.044   0.845   0.838
   22  3750  5.00 -0.50  2.00  0.00  0.00 -11.958 -11.942 -13.283 -13.817 -14.203   2.661   2.655   0.887   0.076   0.734   0.727
   23  4000  0.00 -0.50  2.00  0.00  0.00 -10.841 -10.827 -12.810 -14.126 -14.620   4.087   4.079   0.993   0.752   0.595   0.587
