
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00  0.50  2.00  0.00  0.00  -8.261  -8.246 -10.737 -11.869 -12.685   4.411   4.403   1.316   0.246   1.286   1.278
    2  3500  0.50  0.50  2.00  0.00  0.00  -8.561  -8.547 -10.959 -11.802 -12.572   4.044   4.035   1.270   0.003   1.497   1.489
    3  3500  1.00  0.50  2.00  0.00  0.00  -8.869  -8.855 -11.182 -11.746 -12.473   3.679   3.671   1.227  -0.235   1.693   1.684
    4  3500  1.50  0.50  2.00  0.00  0.00  -9.185  -9.171 -11.407 -11.702 -12.393   3.319   3.311   1.191  -0.467   1.870   1.862
    5  3500  2.00  0.50  2.00  0.00  0.00  -9.511  -9.498 -11.637 -11.692 -12.348   2.982   2.974   1.157  -0.673   2.012   2.004
    6  3500  2.50  0.50  2.00  0.00  0.00  -9.846  -9.832 -11.868 -11.727 -12.351   2.683   2.675   1.124  -0.836   2.105   2.096
    7  3500  3.00  0.50  2.00  0.00  0.00 -10.167 -10.154 -12.086 -11.821 -12.413   2.456   2.448   1.091  -0.928   2.126   2.118
    8  3500  3.50  0.50  2.00  0.00  0.00 -10.460 -10.446 -12.291 -11.990 -12.547   2.332   2.324   1.058  -0.930   2.075   2.067
    9  3500  4.00  0.50  2.00  0.00  0.00 -10.720 -10.705 -12.473 -12.215 -12.743   2.297   2.290   1.029  -0.858   1.953   1.946
   10  3500  4.50  0.50  2.00  0.00  0.00 -10.955 -10.940 -12.621 -12.466 -12.976   2.313   2.307   1.010  -0.736   1.763   1.757
   11  3500  5.00  0.50  2.00  0.00  0.00 -11.107 -11.090 -12.692 -12.696 -13.198   2.391   2.386   1.002  -0.569   1.523   1.517
   12  3750  0.00  0.50  2.00  0.00  0.00  -8.996  -8.981 -11.451 -13.143 -13.877   4.950   4.942   1.234   0.888   0.704   0.697
   13  3750  0.50  0.50  2.00  0.00  0.00  -9.293  -9.278 -11.652 -13.152 -13.841   4.661   4.654   1.189   0.739   0.802   0.795
   14  3750  1.00  0.50  2.00  0.00  0.00  -9.578  -9.563 -11.852 -13.160 -13.802   4.384   4.376   1.143   0.595   0.908   0.900
   15  3750  1.50  0.50  2.00  0.00  0.00  -9.863  -9.849 -12.057 -13.172 -13.764   4.110   4.103   1.092   0.451   1.021   1.013
   16  3750  2.00  0.50  2.00  0.00  0.00 -10.149 -10.135 -12.256 -13.180 -13.725   3.834   3.826   1.045   0.308   1.125   1.118
   17  3750  2.50  0.50  2.00  0.00  0.00 -10.435 -10.421 -12.452 -13.187 -13.688   3.554   3.546   1.001   0.163   1.224   1.216
   18  3750  3.00  0.50  2.00  0.00  0.00 -10.704 -10.690 -12.623 -13.185 -13.654   3.283   3.276   0.968   0.023   1.299   1.291
