
       Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    1  3500  0.00  0.50  2.00  1.25  0.00  -8.993 -11.487 -12.604 -22.077  -2.501   2.147   1.720   1.704
    2  3500  0.50  0.50  2.00  1.25  0.00  -9.298 -11.504 -12.488 -22.077  -2.616   1.850   1.587   1.571
    3  3500  1.00  0.50  2.00  1.25  0.00  -9.608 -11.541 -12.392 -22.077  -2.713   1.568   1.455   1.439
    4  3500  1.50  0.50  2.00  1.25  0.00  -9.921 -11.597 -12.316 -22.077  -2.788   1.303   1.323   1.307
    5  3500  2.00  0.50  2.00  1.25  0.00 -10.235 -11.685 -12.277 -22.077  -2.828   1.068   1.196   1.180
    6  3500  2.50  0.50  2.00  1.25  0.00 -10.543 -11.806 -12.281 -22.077  -2.824   0.873   1.079   1.063
    7  3500  3.00  0.50  2.00  1.25  0.00 -10.825 -11.955 -12.338 -22.077  -2.767   0.736   0.986   0.970
    8  3500  3.50  0.50  2.00  1.25  0.00 -11.071 -12.135 -12.459 -22.077  -2.645   0.667   0.928   0.912
    9  3500  4.00  0.50  2.00  1.25  0.00 -11.281 -12.330 -12.639 -22.077  -2.465   0.652   0.913   0.897
   10  3500  4.50  0.50  2.00  1.25  0.00 -11.459 -12.520 -12.859 -22.077  -2.246   0.667   0.942   0.926
   11  3500  5.00  0.50  2.00  1.25  0.00 -11.556 -12.663 -13.076 -22.077  -2.028   0.717   1.017   1.001
   12  3750  0.00  0.50  2.00  1.25  0.00  -9.658 -12.602 -13.836 -22.376  -1.568   2.607   1.837   1.821
   13  3750  0.50  0.50  2.00  1.25  0.00  -9.957 -12.639 -13.789 -22.376  -1.616   2.339   1.753   1.737
   14  3750  1.00  0.50  2.00  1.25  0.00 -10.246 -12.683 -13.740 -22.376  -1.664   2.089   1.660   1.644
   15  3750  1.50  0.50  2.00  1.25  0.00 -10.533 -12.740 -13.693 -22.376  -1.712   1.853   1.557   1.541
   16  3750  2.00  0.50  2.00  1.25  0.00 -10.810 -12.799 -13.646 -22.376  -1.758   1.629   1.450   1.434
   17  3750  2.50  0.50  2.00  1.25  0.00 -11.077 -12.863 -13.602 -22.376  -1.802   1.421   1.342   1.326
   18  3750  3.00  0.50  2.00  1.25  0.00 -11.313 -12.920 -13.562 -22.376  -1.842   1.236   1.246   1.230
   19  3750  3.50  0.50  2.00  1.25  0.00 -11.516 -12.982 -13.543 -22.376  -1.861   1.089   1.165   1.149
   20  3750  4.00  0.50  2.00  1.25  0.00 -11.683 -13.050 -13.556 -22.376  -1.848   0.988   1.110   1.094
   21  3750  4.50  0.50  2.00  1.25  0.00 -11.838 -13.139 -13.629 -22.376  -1.776   0.920   1.093   1.077
   22  3750  5.00  0.50  2.00  1.25  0.00 -11.971 -13.237 -13.742 -22.376  -1.662   0.885   1.109   1.093
   23  4000  0.00  0.50  2.00  1.25  0.00 -10.445 -13.437 -14.586 -22.656  -1.099   2.655   1.753   1.737
   24  4000  0.50  0.50  2.00  1.25  0.00 -10.720 -13.473 -14.566 -22.656  -1.118   2.413   1.697   1.681
   25  4000  1.00  0.50  2.00  1.25  0.00 -10.986 -13.511 -14.544 -22.656  -1.140   2.180   1.637   1.621
   26  4000  1.50  0.50  2.00  1.25  0.00 -11.250 -13.566 -14.527 -22.656  -1.158   1.967   1.565   1.549
   27  4000  2.00  0.50  2.00  1.25  0.00 -11.498 -13.620 -14.507 -22.656  -1.178   1.769   1.490   1.474
   28  4000  2.50  0.50  2.00  1.25  0.00 -11.722 -13.674 -14.485 -22.656  -1.200   1.595   1.414   1.398
   29  4000  3.00  0.50  2.00  1.25  0.00 -11.914 -13.715 -14.455 -22.656  -1.230   1.439   1.343   1.327
   30  4000  3.50  0.50  2.00  1.25  0.00 -12.065 -13.744 -14.422 -22.656  -1.263   1.313   1.281   1.265
   31  4000  4.00  0.50  2.00  1.25  0.00 -12.185 -13.766 -14.393 -22.656  -1.292   1.212   1.231   1.215
   32  4000  4.50  0.50  2.00  1.25  0.00 -12.286 -13.787 -14.382 -22.656  -1.302   1.130   1.199   1.183
   33  4000  5.00  0.50  2.00  1.25  0.00 -12.390 -13.820 -14.413 -22.656  -1.272   1.058   1.196   1.180
   34  4250  0.00  0.50  2.00  1.25  0.00 -11.428 -14.127 -15.146 -22.920  -0.802   2.359   1.622   1.606
   35  4250  0.50  0.50  2.00  1.25  0.00 -11.645 -14.160 -15.133 -22.920  -0.814   2.172   1.577   1.561
   36  4250  1.00  0.50  2.00  1.25  0.00 -11.871 -14.195 -15.120 -22.920  -0.828   1.978   1.528   1.512
   37  4250  1.50  0.50  2.00  1.25  0.00 -12.093 -14.239 -15.109 -22.920  -0.839   1.797   1.473   1.457
   38  4250  2.00  0.50  2.00  1.25  0.00 -12.306 -14.290 -15.099 -22.920  -0.849   1.631   1.412   1.396
   39  4250  2.50  0.50  2.00  1.25  0.00 -12.481 -14.334 -15.087 -22.920  -0.861   1.496   1.357   1.341
   40  4250  3.00  0.50  2.00  1.25  0.00 -12.624 -14.370 -15.071 -22.920  -0.876   1.386   1.305   1.289
   41  4250  3.50  0.50  2.00  1.25  0.00 -12.724 -14.386 -15.048 -22.920  -0.899   1.300   1.266   1.250
   42  4250  4.00  0.50  2.00  1.25  0.00 -12.791 -14.393 -15.023 -22.920  -0.924   1.237   1.234   1.218
   43  4250  4.50  0.50  2.00  1.25  0.00 -12.838 -14.391 -14.998 -22.920  -0.950   1.186   1.211   1.195
   44  4250  5.00  0.50  2.00  1.25  0.00 -12.888 -14.388 -14.984 -22.920  -0.964   1.132   1.199   1.183
   45  4500  0.00  0.50  2.00  1.25  0.00 -12.416 -14.717 -15.598 -23.168  -0.598   1.956   1.485   1.469
   46  4500  0.50  0.50  2.00  1.25  0.00 -12.570 -14.747 -15.591 -23.168  -0.605   1.830   1.448   1.432
   47  4500  1.00  0.50  2.00  1.25  0.00 -12.732 -14.776 -15.581 -23.168  -0.615   1.693   1.409   1.393
   48  4500  1.50  0.50  2.00  1.25  0.00 -12.902 -14.808 -15.571 -23.168  -0.625   1.553   1.367   1.351
   49  4500  2.00  0.50  2.00  1.25  0.00 -13.068 -14.849 -15.563 -23.168  -0.633   1.425   1.317   1.301
   50  4500  2.50  0.50  2.00  1.25  0.00 -13.215 -14.889 -15.554 -23.168  -0.642   1.315   1.269   1.253
   51  4500  3.00  0.50  2.00  1.25  0.00 -13.321 -14.920 -15.544 -23.168  -0.652   1.237   1.228   1.212
   52  4500  3.50  0.50  2.00  1.25  0.00 -13.395 -14.937 -15.528 -23.168  -0.669   1.179   1.194   1.178
   53  4500  4.00  0.50  2.00  1.25  0.00 -13.434 -14.941 -15.508 -23.168  -0.689   1.142   1.170   1.154
   54  4500  4.50  0.50  2.00  1.25  0.00 -13.447 -14.936 -15.486 -23.168  -0.710   1.121   1.154   1.138
   55  4500  5.00  0.50  2.00  1.25  0.00 -13.448 -14.921 -15.464 -23.168  -0.732   1.105   1.146   1.130
   56  4750  0.00  0.50  2.00  1.25  0.00 -13.279 -15.236 -15.981 -23.403  -0.450   1.606   1.348   1.332
   57  4750  0.50  0.50  2.00  1.25  0.00 -13.402 -15.266 -15.977 -23.403  -0.454   1.510   1.314   1.298
   58  4750  1.00  0.50  2.00  1.25  0.00 -13.523 -15.290 -15.970 -23.403  -0.461   1.412   1.283   1.267
   59  4750  1.50  0.50  2.00  1.25  0.00 -13.646 -15.314 -15.962 -23.403  -0.468   1.310   1.252   1.236
   60  4750  2.00  0.50  2.00  1.25  0.00 -13.771 -15.344 -15.956 -23.403  -0.475   1.212   1.215   1.199
   61  4750  2.50  0.50  2.00  1.25  0.00 -13.887 -15.376 -15.950 -23.403  -0.481   1.126   1.178   1.162
   62  4750  3.00  0.50  2.00  1.25  0.00 -13.974 -15.402 -15.942 -23.403  -0.489   1.064   1.143   1.127
